City/Community Label,All Included Communities,Combined_Population
Canyon Country--(Region:1),Unincorporated-Agua Dulce;Unincorporated-Bouquet Canyon;Unincorporated-Canyon Country;Unincorporated-Del Sur;Unincorporated-Elizabeth Lake;Unincorporated-Lake Hughes;Unincorporated-Leona Valley;Unincorporated-San Francisquito Canyon/Bouquet Canyon;Unincorporated-Saugus;Unincorporated-Saugus/Canyon Country;Unincorporated-Valencia;Unincorporated-West Antelope Valley,25745
Castaic--(Region:2),Unincorporated-Castaic,28325
Santa Clarita--(Region:3),Santa Clarita,219356
Stevenson Ranch--(Region:4),Unincorporated-Newhall;Unincorporated-Stevenson Ranch;Unincorporated-Twin Lakes/Oat Mountain;Unincorporated-Val Verde,25479
Lancaster--(Region:5),Lancaster;Unincorporated-East Lancaster;Unincorporated-Quartz Hill,169552
Palmdale--(Region:6),Palmdale,159689
Lake Los Angeles--(Region:7),Unincorporated-Hi Vista;Unincorporated-Lake Los Angeles;Unincorporated-Littlerock/Pearblossom;Unincorporated-North Lancaster;Unincorporated-Roosevelt;Unincorporated-South Edwards;Unincorporated-Sun Village,25960
Acton--(Region:8),Unincorporated-Littlerock/Juniper Hills;Unincorporated-Sand Canyon;Unincorporated-Placerita Canyon;Unincorporated-South Antelope Valley;Unincorporated-Southeast Antelope Valley;Unincorporated-Palmdale;Unincorporated-Llano;Unincorporated-Kagel/Lopez Canyons;Unincorporated-Angeles National Forest;Unincorporated-Anaverde;Unincorporated-Desert View Highlands;Unincorporated-Pearblossom/Llano;Unincorporated-White Fence Farms;Unincorporated-Littlerock;Unincorporated-Acton,28809
Burbank--(Region:9),Burbank,104692
Glendale--(Region:10),Glendale,201605
La Canada Flintridge--(Region:11),La Canada Flintridge;Unincorporated-La Crescenta-Montrose,40253
Pasadena--(Region:12),Pasadena;Unincorporated-East Pasadena;Unincorporated-Northeast San Gabriel;Unincorporated-San Pasqual,174449
Altadena--(Region:13),Sierra Madre;Unincorporated-Altadena,53439
Arcadia--(Region:14),Arcadia,56993
Monrovia--(Region:15),Monrovia;Unincorporated-Bradbury,37614
Duarte--(Region:16),Bradbury;Duarte;Unincorporated-Arcadia;Unincorporated-Duarte;Unincorporated-Monrovia,39704
Azusa--(Region:17),Azusa;Unincorporated-Azusa,65527
Glendora--(Region:18),Glendora;Unincorporated-Glendora,52890
San Dimas--(Region:19),San Dimas;Unincorporated-East Covina,34330
La Verne--(Region:20),La Verne;Unincorporated-La Verne,35146
Claremont--(Region:21),Claremont;Unincorporated-Claremont;Unincorporated-Padua Hills,36850
Pomona--(Region:22),Pomona;Unincorporated-Pomona,157108
Covina--(Region:23),Unincorporated-Charter Oak;Unincorporated-Covina;Unincorporated-Covina (Charter Oak),29406
Covina--(Region:24),Covina,49131
West Covina--(Region:25),West Covina,107688
Baldwin Park--(Region:26),Baldwin Park;Irwindale,75833
El Monte--(Region:27),El Monte,113725
Temple City--(Region:28),Temple City,36499
Rosemead--(Region:29),Rosemead,55058
San Gabriel--(Region:30),San Gabriel,40311
South Pasadena--(Region:31),San Marino;South Pasadena,39453
Alhambra--(Region:32),Alhambra,86706
Monterey Park--(Region:33),Monterey Park,61121
East Los Angeles--(Region:34),Unincorporated-East Los Angeles,126985
Montebello--(Region:35),Montebello,63731
South El Monte--(Region:36),South El Monte;Unincorporated-El Monte;Unincorporated-Pellissier Village;Unincorporated-South El Monte;Unincorporated-South San Gabriel;Unincorporated-Whittier Narrows,32030
Bassett--(Region:37),Industry;Unincorporated-Avocado Heights;Unincorporated-Bassett;Unincorporated-North Whittier;Unincorporated-West Puente Valley,39491
La Puente--(Region:38),La Puente,40378
Valinda--(Region:39),Unincorporated-San Jose Hills;Unincorporated-Valinda,43986
Walnut--(Region:40),Unincorporated-Walnut;Walnut,30067
Diamond Bar--(Region:41),Diamond Bar,57127
Rowland Heights--(Region:42),Unincorporated-Rowland Heights,50863
Hacienda Heights--(Region:43),Unincorporated-Hacienda Heights,54634
Pico Rivera--(Region:44),Pico Rivera,64052
Whittier--(Region:45),La Habra Heights;Unincorporated-La Habra Heights;Unincorporated-Sunrise Village;Unincorporated-Whittier;Whittier,99118
La Mirada--(Region:46),La Mirada;Unincorporated-East La Mirada,54602
South Whittier--(Region:47),Unincorporated-East Whittier;Unincorporated-South Whittier,63072
West Whittier/Los Nietos--(Region:48),Santa Fe Springs;Unincorporated-West Whittier/Los Nietos,45219
Norwalk--(Region:49),Norwalk,104868
Downey--(Region:50),Downey,113811
Maywood--(Region:51),Commerce;Maywood;Unincorporated-Bandini Islands;Vernon,41472
Bell--(Region:52),Bell,36596
Huntington Park--(Region:53),Huntington Park,59508
Florence-Firestone--(Region:5 4),Unincorporated-Florence-Firestone;Unincorporated-Walnut Park,81770
South Gate--(Region:55),South Gate,99739
Bell Gardens--(Region:56),Bell Gardens;Cudahy,67342
Lynwood--(Region:57),Lynwood,72189
Paramount--(Region:58),Paramount,56225
Bellflower--(Region:59),Bellflower;Unincorporated-Lynwood,76060
Cerritos--(Region:60),Artesia;Cerritos;Unincorporated-Cerritos,66654
Lakewood--(Region:61),Hawaiian Gardens;Lakewood;Signal Hill;Unincorporated-Lakewood;Unincorporated-Long Beach,106281
Long Beach--(Region:62),Long Beach,483934
Compton--(Region:63),Compton;Unincorporated-East Rancho Dominguez;Unincorporated-Rosewood,118259
Willowbrook--(Region:64),Unincorporated-Athens Village;Unincorporated-Rosewood/East Gardena;Unincorporated-Rosewood/West Rancho Dominguez;Unincorporated-West Rancho Dominguez;Unincorporated-Willowbrook,43095
Carson--(Region:65),Carson;Unincorporated-Rancho Dominguez;Unincorporated-West Carson,118244
Rancho Palos Verdes--(Region:66),Rancho Palos Verdes,42908
